filename_in,filename_out
84850.tiff,UofA_WW2_Italy_50k_229_I.tif
84851.tiff,UofA_WW2_Italy_50k_229_III.tif
84852.tiff,UofA_WW2_Italy_50k_230_III.tif
84853.tiff,UofA_WW2_Italy_50k_154_III.tif
84854.tiff,UofA_WW2_Italy_50k_154_IV.tif
84855.tiff,UofA_WW2_Italy_50k_155_I.tif
84856.tiff,UofA_WW2_Italy_50k_155_II.tif
84857.tiff,UofA_WW2_Italy_50k_236_III.tif
84858.tiff,UofA_WW2_Italy_50k_236_IV.tif
84859.tiff,UofA_WW2_Italy_50k_237_I.tif
84860.tiff,UofA_WW2_Italy_50k_237_II.tif
84861.tiff,UofA_WW2_Italy_50k_241_I.tif
84862.tiff,UofA_WW2_Italy_50k_241_II.tif
84863.tiff,UofA_WW2_Italy_50k_241_III.tif
84864.tiff,UofA_WW2_Italy_50k_242_I.tif
84865.tiff,UofA_WW2_Italy_50k_156_III.tif
84866.tiff,UofA_WW2_Italy_50k_158_I.tif
84867.tiff,UofA_WW2_Italy_50k_158_II.tif
84868.tiff,UofA_WW2_Italy_50k_158_III.tif
84869.tiff,UofA_WW2_Italy_50k_159_IV.tif
84870.tiff,UofA_WW2_Italy_50k_160_I.tif
84871.tiff,UofA_WW2_Italy_50k_160_II.tif
84872.tiff,UofA_WW2_Italy_50k_160_III.tif
84873.tiff,UofA_WW2_Italy_50k_244_II.tif
84874.tiff,UofA_WW2_Italy_50k_244_III.tif
84875.tiff,UofA_WW2_Italy_50k_244_IV.tif
84876.tiff,UofA_WW2_Italy_50k_245_II.tif
84877.tiff,UofA_WW2_Italy_50k_161_IV.tif
84878.tiff,UofA_WW2_Italy_50k_162_I.tif
84879.tiff,UofA_WW2_Italy_50k_162_II.tif
84880.tiff,UofA_WW2_Italy_50k_162_III.tif
84881.tiff,UofA_WW2_Italy_50k_247_III.tif
84882.tiff,UofA_WW2_Italy_50k_247_IV.tif
84883.tiff,UofA_WW2_Italy_50k_248_I.tif
84884.tiff,UofA_WW2_Italy_50k_248_II.tif
84885.tiff,UofA_WW2_Italy_50k_249_IV.tif
84886.tiff,UofA_WW2_Italy_50k_250_II.tif
84887.tiff,UofA_WW2_Italy_50k_250_III.tif
84888.tiff,UofA_WW2_Italy_50k_251_II.tif
84889.tiff,UofA_WW2_Italy_50k_164_III.tif
84890.tiff,UofA_WW2_Italy_50k_164_IV.tif
84891.tiff,UofA_WW2_Italy_50k_166_II.tif
84892.tiff,UofA_WW2_Italy_50k_167_II.tif
84893.tiff,UofA_WW2_Italy_50k_253_II.tif
84894.tiff,UofA_WW2_Italy_50k_253_III.tif
84895.tiff,UofA_WW2_Italy_50k_254_II.tif
84896.tiff,UofA_WW2_Italy_50k_254_III.tif
84897.tiff,UofA_WW2_Italy_50k_169_III.tif
84898.tiff,UofA_WW2_Italy_50k_169_IV.tif
84899.tiff,UofA_WW2_Italy_50k_170_I.tif
84900.tiff,UofA_WW2_Italy_50k_171_IV.tif
84901.tiff,UofA_WW2_Italy_50k_256_I.tif
84902.tiff,UofA_WW2_Italy_50k_256_II.tif
84903.tiff,UofA_WW2_Italy_50k_256_IV.tif
84904.tiff,UofA_WW2_Italy_50k_257_I.tif
84905.tiff,UofA_WW2_Italy_50k_173_I.tif
84906.tiff,UofA_WW2_Italy_50k_173_II.tif
