MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TOP-LEVEL COLLECTION,TIMERANGE: From 365daysAgo to 20181025,,,,Collection,9839,81038,77266,71369,49596,66648,81271,81131,81117,82248,5946,81951,21508,70033,81142,77271,34,66649,81115,
,,,,,,,,,,,,,Sum of Item Pageviews,8539,442,91,25312,11739,887,60,797,304,231,173,385,17363,53,385,20,55029,65693,179,187682
3984,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3984,'[Cambrai] 57b.NW Enemy Organisation 29-8-18 | Digital Archive @ McMaster University Library',13,16,1,350WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
3985,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3985,'[Dunkerque] 1A | Digital Archive @ McMaster University Library',5,5,1,425WW1MAP,70659,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
3986,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3986,'[Anzin] 44.SE Enemy Organisation 15-10-18 | Digital Archive @ McMaster University Library',14,31,1,366WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,
3987,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3987,'[Roulers] 20.SE | Digital Archive @ McMaster University Library',9,21,1,296WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,
3988,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3988,'[Peronne] 62c.NW | Digital Archive @ McMaster University Library',19,34,1,086WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
3989,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3989,'Krithia | Digital Archive @ McMaster University Library',25,29,1,283WW1MAP,74929,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,
3990,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3990,'[Valenciennes] 51a Enemy Rear Organisation 24-9-18 | Digital Archive @ McMaster University Library',7,8,1,041WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
3991,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3991,'[Arras] 51b.NW | Digital Archive @ McMaster University Library',3,3,1,360WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
3992,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3992,'[Ostende-Brussels-Lille] 1 | Digital Archive @ McMaster University Library',8,15,1,420WW1MAP,70660,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
3993,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3993,'[Lens] 36c.SW | Digital Archive @ McMaster University Library',8,15,1,042WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
3994,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3994,'[Walincourt] 57b.SW | Digital Archive @ McMaster University Library',4,4,1,089WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
3995,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3995,'[Remigny] 66c.SW.1 | Digital Archive @ McMaster University Library',1,1,1,124WW1MAP,74945,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
3996,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3996,'[Gouzeaucourt--Moislains] 57c.SE.2 | Digital Archive @ McMaster University Library',17,25,1,147WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,
3997,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3997,'[Zerkiyeh Crossing Birket Ramadan] | Digital Archive @ McMaster University Library',17,21,1,445WW1MAP,74928,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,
3998,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3998,'Hostile Battery Positions 28-9-18 [51b.NE] | Digital Archive @ McMaster University Library',55,64,1,088WW1MAP,75209,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,
3999,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3999,'Blaireville 51c.SE.4 | Digital Archive @ McMaster University Library',2,3,1,134WW1MAP,74945,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
4000,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4000,'Ramleh: Secret | Digital Archive @ McMaster University Library',22,27,1,290WW1MAP,74931,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,
4001,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4001,'[Queant] 57c.NE | Digital Archive @ McMaster University Library',3,3,1,003WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
4002,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4002,'Ismailia | Digital Archive @ McMaster University Library',11,13,1,234WW1MAP,74923,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
4003,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4003,'Chilly Sheets 62d.SE. 62c.SW. 66e.NE. & 66d.NW. (parts of) | Digital Archive @ McMaster University Library',31,41,1,338WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,
4004,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4004,'Valenciennes 12 | Digital Archive @ McMaster University Library',33,43,1,408WW1MAP,70212,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,
4005,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4005,'Longeuval 57c.SW.3 | Digital Archive @ McMaster University Library',7,7,1,115WW1MAP,74945,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
4006,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4006,'Situation Map 2A: Railways & Ammunition Dumps 11-10-18 | Digital Archive @ McMaster University Library',36,39,1,330WW1MAP,74936,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,
